,sample_pt_desc,year,qtr,quarter,cod,conductivity,e_coli,pH,nitrate,phosphate,physical_compliance_percentage,chemical_compliance_percentage,bacteriological_compliance_percentage,biological_compliance_percentage,overall_compliance_percentage,river_id
1029,Blesbokspruit Weir @ Heidelberg,2020,4,Oct-Dec,23.0,97.0,2996.0,7.8,1.86,1.24,60.0,90.91,0.0,100.0,62.73,1
1030,Klip River Weir @ Redan Train Bridge,2020,1,Jan-Mar,39.0,70.0,13860.0,7.5,2.49,1.03,60.0,90.91,0.0,100.0,62.73,1
1031,Klip River Weir @ Redan Train Bridge,2020,2,Apr-Jun,29.0,73.0,9759.0,7.5,4.35,0.63,60.0,90.91,0.0,100.0,62.73,1
1032,Klip River Weir @ Redan Train Bridge,2020,3,Jul-Sep,34.0,83.0,2108.0,7.5,5.32,0.6,80.0,100.0,0.0,100.0,70.0,1
1033,Klip River Weir @ Redan Train Bridge,2020,4,Oct-Dec,23.0,76.0,8246.0,7.4,2.77,1.85,60.0,90.91,0.0,100.0,62.73,1
1034,Leeuspruit @ Sasolburg ,2020,1,Jan-Mar,35.0,51.0,22760.0,7.6,0.5,0.88,80.0,81.82,0.0,0.0,40.46,1
1035,Leeuspruit @ Sasolburg ,2020,2,Apr-Jun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1036,Leeuspruit @ Sasolburg ,2020,3,Jul-Sep,44.0,64.0,12579.0,7.8,0.8,0.29,80.0,100.0,0.0,0.0,45.0,1
1037,Leeuspruit @ Sasolburg ,2020,4,Oct-Dec,45.0,54.0,82832.0,7.8,0.5,1.88,80.0,90.91,0.0,0.0,42.73,1
1038,Rietspruit Weir @ Loch Vaal ,2020,1,Jan-Mar,48.0,56.0,78035.0,7.7,0.5,0.96,80.0,81.82,0.0,100.0,65.46,1
1039,Rietspruit Weir @ Loch Vaal ,2020,2,Apr-Jun,40.0,60.0,58093.0,7.5,0.95,0.87,80.0,81.82,0.0,100.0,65.46,1
1040,Rietspruit Weir @ Loch Vaal ,2020,3,Jul-Sep,46.0,62.0,270396.0,7.5,1.3,1.31,80.0,81.82,0.0,100.0,65.46,1
1041,Rietspruit Weir @ Loch Vaal ,2020,4,Oct-Dec,46.0,65.0,331795.0,7.4,0.55,2.11,60.0,81.82,0.0,100.0,60.46,1
1042,Suikerbosrant River Weir @ Three Rivers,2020,1,Jan-Mar,33.0,76.0,393.0,8.0,1.33,0.4,80.0,100.0,100.0,100.0,95.0,1
1043,Suikerbosrant River Weir @ Three Rivers,2020,2,Apr-Jun,30.0,88.0,537.0,8.0,2.04,0.27,80.0,100.0,0.0,100.0,70.0,1
1044,Suikerbosrant River Weir @ Three Rivers,2020,3,Jul-Sep,29.0,108.0,125.0,8.1,2.53,0.32,80.0,100.0,100.0,100.0,95.0,1
1045,Suikerbosrant River Weir @ Three Rivers,2020,4,Oct-Dec,29.0,98.0,526.0,7.9,1.61,1.98,80.0,90.91,0.0,100.0,67.73,1
1046,Stream from Webb's Farm ,2020,1,Jan-Mar,0.0,75.0,440.0,7.8,0.58,1.18,40.0,90.91,0.0,0.0,32.73,1
1047,Stream from Webb's Farm ,2020,2,Apr-Jun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1048,Stream from Webb's Farm ,2020,3,Jul-Sep,0.0,71.0,121.0,8.0,0.72,0.5,40.0,100.0,100.0,0.0,60.0,1
1049,Stream from Webb's Farm ,2020,4,Oct-Dec,0.0,70.0,1206.0,7.7,0.77,2.54,40.0,81.82,0.0,0.0,30.46,1
1050,Vaal River @ Barrage Outlet ,2020,1,Jan-Mar,35.0,59.0,7.0,8.0,2.45,0.66,80.0,90.91,100.0,100.0,92.73,1
1051,Vaal River @ Barrage Outlet ,2020,2,Apr-Jun,26.0,68.0,38.0,7.4,3.19,0.32,80.0,100.0,100.0,100.0,95.0,1
1052,Vaal River @ Barrage Outlet ,2020,3,Jul-Sep,26.0,73.0,64.0,7.8,2.7,0.57,80.0,100.0,100.0,100.0,95.0,1
1053,Vaal River @ Barrage Outlet ,2020,4,Oct-Dec,37.0,70.0,63.0,7.7,2.7,1.42,80.0,90.91,100.0,100.0,92.73,1
1054,Vaal River @ Engelbrecht's Drift Weir,2020,1,Jan-Mar,23.0,21.0,140.0,7.8,0.53,0.27,60.0,100.0,100.0,100.0,90.0,1
1055,Vaal River @ Engelbrecht's Drift Weir,2020,2,Apr-Jun,22.0,21.0,21.0,7.9,0.5,0.25,60.0,100.0,100.0,100.0,90.0,1
1056,Vaal River @ Engelbrecht's Drift Weir,2020,3,Jul-Sep,19.0,19.0,28.0,7.8,2.2,0.25,60.0,100.0,100.0,100.0,90.0,1
1057,Vaal River @ Engelbrecht's Drift Weir,2020,4,Oct-Dec,19.0,21.0,197.0,7.7,0.5,0.26,60.0,100.0,100.0,100.0,90.0,1
1058,Vaal River @ 20 km Beacon ,2020,1,Jan-Mar,32.0,66.0,225.0,7.8,2.2,1.57,80.0,90.91,100.0,100.0,92.73,1
1059,Vaal River @ 20 km Beacon ,2020,2,Apr-Jun,21.0,72.0,508.0,7.4,3.92,0.32,80.0,100.0,0.0,100.0,70.0,1
1060,Vaal River @ 20 km Beacon ,2020,3,Jul-Sep,22.0,81.0,194.0,7.6,4.77,0.39,80.0,100.0,100.0,100.0,95.0,1
1061,Vaal River @ 20 km Beacon ,2020,4,Oct-Dec,22.0,66.0,489.0,7.6,3.08,1.49,80.0,90.91,0.0,100.0,67.73,1
1062,Vaal River @ 37 km Beacon ,2020,1,Jan-Mar,27.0,66.0,11061.0,7.6,2.92,1.49,80.0,90.91,0.0,100.0,67.73,1
1063,Vaal River @ 37 km Beacon ,2020,2,Apr-Jun,25.0,69.0,6986.0,7.4,3.82,0.38,80.0,100.0,0.0,100.0,70.0,1
1064,Vaal River @ 37 km Beacon ,2020,3,Jul-Sep,23.0,82.0,5874.0,7.4,4.22,0.48,80.0,100.0,0.0,100.0,70.0,1
1065,Vaal River @ 37 km Beacon ,2020,4,Oct-Dec,23.0,73.0,2197.0,7.5,3.03,1.52,80.0,90.91,0.0,100.0,67.73,1
1066,Blesbokspruit Weir @ Heidelberg,2021,1,Jan-Mar,29.0,73.0,6188.0,7.9,0.92,1.36,60.0,45.45,0.0,100.0,51.36,1
1067,Blesbokspruit Weir @ Heidelberg,2021,2,Apr-Jun,22.0,80.0,1035.0,7.9,1.65,0.54,100.0,100.0,0.0,100.0,75.0,1
1068,Blesbokspruit Weir @ Heidelberg,2021,3,Jul-Sep,24.0,127.0,12743.0,7.9,1.98,1.07,80.0,72.73,0.0,100.0,63.18,1
1069,Blesbokspruit Weir @ Heidelberg,2021,4,Oct-Dec,26.0,101.0,2099.0,7.9,1.45,1.02,80.0,90.91,0.0,100.0,67.73,1
1070,Klip River Weir @ Redan Train Bridge,2021,1,Jan-Mar,29.0,70.0,15475.0,7.4,3.35,1.32,60.0,90.91,0.0,100.0,62.73,1
1071,Klip River Weir @ Redan Train Bridge,2021,2,Apr-Jun,35.0,78.0,10005.0,7.5,3.27,0.91,100.0,90.91,0.0,100.0,72.73,1
1072,Klip River Weir @ Redan Train Bridge,2021,3,Jul-Sep,31.0,82.0,12622.0,7.6,1.94,1.98,100.0,81.82,0.0,100.0,70.46,1
1073,Klip River Weir @ Redan Train Bridge,2021,4,Oct-Dec,29.0,80.0,27091.0,7.5,0.9,1.85,80.0,81.82,0.0,100.0,65.46,1
1074,Leeuspruit @ Sasolburg ,2021,1,Jan-Mar,32.0,59.0,665537.0,7.7,1.23,2.2,80.0,90.91,0.0,0.0,42.73,1
1075,Leeuspruit @ Sasolburg ,2021,2,Apr-Jun,27.0,69.0,51091.0,7.8,0.59,0.88,100.0,90.91,0.0,0.0,47.73,1
1076,Leeuspruit @ Sasolburg ,2021,3,Jul-Sep,36.0,58.0,1741.0,8.0,1.69,1.44,100.0,90.91,0.0,0.0,47.73,1
1077,Leeuspruit @ Sasolburg ,2021,4,Oct-Dec,39.0,50.0,147297.0,7.7,0.57,1.85,80.0,81.82,0.0,0.0,40.46,1
1078,Rietspruit Weir @ Loch Vaal ,2021,1,Jan-Mar,38.0,56.0,37269.0,7.4,2.52,1.97,80.0,45.45,0.0,100.0,56.36,1
1079,Rietspruit Weir @ Loch Vaal ,2021,2,Apr-Jun,37.0,61.0,64455.0,7.5,0.59,1.09,100.0,81.82,0.0,100.0,70.46,1
1080,Rietspruit Weir @ Loch Vaal ,2021,3,Jul-Sep,40.0,63.0,297938.0,7.5,0.5,2.84,100.0,81.82,0.0,100.0,70.46,1
1081,Rietspruit Weir @ Loch Vaal ,2021,4,Oct-Dec,41.0,54.0,311354.0,7.5,0.72,1.46,80.0,90.91,0.0,100.0,67.73,1
1082,Suikerbosrant River Weir @ Three Rivers,2021,1,Jan-Mar,32.0,66.0,966.0,7.9,1.56,1.01,60.0,45.45,0.0,100.0,51.36,1
1083,Suikerbosrant River Weir @ Three Rivers,2021,2,Apr-Jun,21.0,89.0,266.0,8.1,2.63,0.39,100.0,100.0,100.0,100.0,100.0,1
1084,Suikerbosrant River Weir @ Three Rivers,2021,3,Jul-Sep,25.0,120.0,169.0,8.1,2.78,0.95,100.0,72.73,100.0,100.0,93.18,1
1085,Suikerbosrant River Weir @ Three Rivers,2021,4,Oct-Dec,30.0,94.0,1270.0,7.9,1.55,1.19,80.0,81.82,0.0,100.0,65.46,1
1086,Stream from Webb's Farm ,2021,1,Jan-Mar,0.0,91.0,779.0,7.7,1.25,3.04,40.0,36.36,0.0,0.0,19.09,1
1087,Stream from Webb's Farm ,2021,2,Apr-Jun,0.0,67.0,448.0,7.9,1.13,1.08,60.0,90.91,0.0,0.0,37.73,1
1088,Stream from Webb's Farm ,2021,3,Jul-Sep,0.0,68.0,1646.0,8.0,1.03,1.67,60.0,90.91,0.0,0.0,37.73,1
1089,Stream from Webb's Farm ,2021,4,Oct-Dec,0.0,66.0,2444.0,7.8,0.72,1.68,60.0,81.82,0.0,0.0,35.46,1
1090,Vaal River @ Barrage Outlet ,2021,1,Jan-Mar,25.0,43.0,378.0,7.4,1.83,0.62,60.0,90.91,100.0,100.0,87.73,1
1091,Vaal River @ Barrage Outlet ,2021,2,Apr-Jun,27.0,68.0,16.0,7.8,2.22,0.33,100.0,100.0,100.0,100.0,100.0,1
1092,Vaal River @ Barrage Outlet ,2021,3,Jul-Sep,28.0,72.0,73.0,7.9,2.23,1.24,100.0,81.82,100.0,100.0,95.46,1
1093,Vaal River @ Barrage Outlet ,2021,4,Oct-Dec,27.0,65.0,245.0,7.8,0.58,1.75,100.0,90.91,100.0,100.0,97.73,1
1094,Vaal River @ Engelbrecht's Drift Weir,2021,1,Jan-Mar,21.0,24.0,241.0,7.7,0.64,0.19,60.0,54.55,100.0,100.0,78.64,1
1095,Vaal River @ Engelbrecht's Drift Weir,2021,2,Apr-Jun,21.0,21.0,64.0,7.9,0.59,0.25,80.0,100.0,100.0,100.0,95.0,1
1096,Vaal River @ Engelbrecht's Drift Weir,2021,3,Jul-Sep,21.0,21.0,46.0,7.9,0.59,0.36,80.0,90.91,100.0,100.0,92.73,1
1097,Vaal River @ Engelbrecht's Drift Weir,2021,4,Oct-Dec,20.0,21.0,149.0,7.8,0.53,0.17,100.0,100.0,100.0,0.0,75.0,1
1098,Vaal River @ 20 km Beacon ,2021,1,Jan-Mar,21.0,46.0,511.0,7.4,2.37,0.62,60.0,90.91,0.0,100.0,62.73,1
1099,Vaal River @ 20 km Beacon ,2021,2,Apr-Jun,27.0,73.0,68.0,7.5,2.3,0.61,100.0,90.91,100.0,100.0,97.73,1
1100,Vaal River @ 20 km Beacon ,2021,3,Jul-Sep,26.0,84.0,58.0,7.7,2.55,1.65,100.0,81.82,100.0,100.0,95.46,1
1101,Vaal River @ 20 km Beacon ,2021,4,Oct-Dec,28.0,73.0,835.0,7.6,0.66,1.94,100.0,90.91,0.0,0.0,47.73,1
1102,Vaal River @ 37 km Beacon ,2021,1,Jan-Mar,21.0,50.0,10438.0,7.4,2.52,0.92,60.0,90.91,0.0,100.0,62.73,1
1103,Vaal River @ 37 km Beacon ,2021,2,Apr-Jun,25.0,76.0,49716.0,7.5,2.96,0.86,100.0,90.91,0.0,100.0,72.73,1
1104,Vaal River @ 37 km Beacon ,2021,3,Jul-Sep,23.0,86.0,19296.0,7.5,2.83,2.12,100.0,81.82,0.0,100.0,70.46,1
1105,Vaal River @ 37 km Beacon ,2021,4,Oct-Dec,29.0,71.0,5139.0,7.5,0.82,2.14,100.0,90.91,0.0,100.0,72.73,1
1106,Blesbokspruit Weir @ Heidelberg,2011,1,Jan-Mar,21.0,63.0,9310.0,7.6,0.69,0.42,100.0,100.0,0.0,100.0,75.0,1
1107,Blesbokspruit Weir @ Heidelberg,2011,2,Apr-Jun,20.0,68.0,35790.0,7.8,1.05,0.38,100.0,100.0,0.0,100.0,75.0,1
1108,Blesbokspruit Weir @ Heidelberg,2011,3,Jul-Sep,24.0,81.0,336.0,7.7,1.89,0.41,100.0,100.0,100.0,100.0,100.0,1
1109,Blesbokspruit Weir @ Heidelberg,2011,4,Oct-Dec,28.0,89.0,1490.0,8.0,1.6,0.53,100.0,100.0,0.0,100.0,75.0,1
1110,Klip River Weir @ Redan Train Bridge,2011,1,Jan-Mar,24.0,68.0,5010.0,7.2,3.1,0.5,100.0,100.0,0.0,100.0,75.0,1
1111,Klip River Weir @ Redan Train Bridge,2011,2,Apr-Jun,27.0,67.0,4426.0,7.5,3.91,0.28,100.0,100.0,0.0,100.0,75.0,1
1112,Klip River Weir @ Redan Train Bridge,2011,3,Jul-Sep,30.0,71.0,1449.0,7.5,4.99,0.3,100.0,100.0,0.0,100.0,75.0,1
1113,Klip River Weir @ Redan Train Bridge,2011,4,Oct-Dec,29.0,69.0,1690.0,7.4,4.2,0.35,80.0,100.0,0.0,100.0,70.0,1
1114,Leeuspruit @ Sasolburg ,2011,1,Jan-Mar,23.0,60.0,19070.0,6.7,0.42,0.19,100.0,100.0,0.0,0.0,50.0,1
1115,Leeuspruit @ Sasolburg ,2011,2,Apr-Jun,40.0,95.0,518369.0,7.8,0.98,0.25,80.0,100.0,0.0,0.0,45.0,1
1116,Leeuspruit @ Sasolburg ,2011,3,Jul-Sep,36.0,88.0,80948.0,7.9,0.29,0.58,80.0,100.0,0.0,0.0,45.0,1
1117,Leeuspruit @ Sasolburg ,2011,4,Oct-Dec,27.0,84.0,590.0,7.1,0.15,0.38,80.0,100.0,0.0,0.0,45.0,1
1118,Rietspruit Weir @ Loch Vaal ,2011,1,Jan-Mar,23.0,64.0,8100.0,7.3,3.3,0.69,60.0,90.91,0.0,100.0,62.73,1
1119,Rietspruit Weir @ Loch Vaal ,2011,2,Apr-Jun,25.0,66.0,5624.0,7.4,4.26,0.93,80.0,90.91,0.0,100.0,67.73,1
1120,Rietspruit Weir @ Loch Vaal ,2011,3,Jul-Sep,26.0,69.0,3731.0,7.4,4.57,1.53,100.0,90.91,0.0,100.0,72.73,1
1121,Rietspruit Weir @ Loch Vaal ,2011,4,Oct-Dec,26.0,63.0,6820.0,7.3,5.1,1.1,60.0,90.91,0.0,100.0,62.73,1
1122,Suikerbosrant River Weir @ Three Rivers,2011,1,Jan-Mar,25.0,47.0,1900.0,7.5,0.63,0.18,100.0,100.0,0.0,100.0,75.0,1
1123,Suikerbosrant River Weir @ Three Rivers,2011,2,Apr-Jun,20.0,60.0,989.0,8.0,0.99,0.22,100.0,100.0,0.0,100.0,75.0,1
1124,Suikerbosrant River Weir @ Three Rivers,2011,3,Jul-Sep,22.0,74.0,50.0,8.1,1.85,0.16,100.0,100.0,100.0,100.0,100.0,1
1125,Suikerbosrant River Weir @ Three Rivers,2011,4,Oct-Dec,26.0,82.0,310.0,8.1,0.9,0.28,100.0,100.0,100.0,100.0,100.0,1
1126,Stream from Webb's Farm ,2011,1,Jan-Mar,0.0,120.0,6720.0,7.2,2.8,1.5,60.0,81.82,0.0,0.0,35.46,1
1127,Stream from Webb's Farm ,2011,2,Apr-Jun,0.0,99.0,884.0,8.0,2.52,1.44,60.0,90.91,0.0,0.0,37.73,1
1128,Stream from Webb's Farm ,2011,3,Jul-Sep,0.0,99.0,1848.0,8.2,2.33,1.22,60.0,90.91,0.0,0.0,37.73,1
1129,Stream from Webb's Farm ,2011,4,Oct-Dec,0.0,105.0,4210.0,7.7,0.75,1.7,60.0,90.91,0.0,0.0,37.73,1
1130,Vaal River @ Barrage Outlet ,2011,1,Jan-Mar,19.0,31.0,445.0,7.1,1.4,0.22,100.0,90.91,0.0,100.0,72.73,1
1131,Vaal River @ Barrage Outlet ,2011,2,Apr-Jun,18.0,59.0,60.0,8.0,1.97,0.36,80.0,100.0,100.0,100.0,95.0,1
1132,Vaal River @ Barrage Outlet ,2011,3,Jul-Sep,22.0,67.0,766.0,8.2,3.28,0.24,100.0,100.0,0.0,100.0,75.0,1
1133,Vaal River @ Barrage Outlet ,2011,4,Oct-Dec,23.0,72.0,130.0,7.8,2.2,0.24,100.0,90.91,100.0,100.0,97.73,1
1134,Vaal River @ Engelbrecht's Drift Weir,2011,1,Jan-Mar,22.0,18.0,760.0,7.2,0.35,0.04,80.0,90.91,0.0,100.0,67.73,1
1135,Vaal River @ Engelbrecht's Drift Weir,2011,2,Apr-Jun,13.0,17.0,62.0,7.9,1.75,0.81,80.0,81.82,100.0,100.0,90.46,1
1136,Vaal River @ Engelbrecht's Drift Weir,2011,3,Jul-Sep,18.0,18.0,50.0,7.4,0.34,0.06,80.0,81.82,100.0,100.0,90.46,1
1137,Vaal River @ Engelbrecht's Drift Weir,2011,4,Oct-Dec,16.0,19.0,200.0,7.0,0.23,0.06,80.0,90.91,100.0,100.0,92.73,1
1138,Vaal River @ 20 km Beacon ,2011,1,Jan-Mar,19.0,38.0,0.0,7.5,1.5,0.17,80.0,100.0,0.0,0.0,45.0,1
1139,Vaal River @ 20 km Beacon ,2011,2,Apr-Jun,17.0,62.0,0.0,7.6,2.56,0.28,100.0,100.0,0.0,0.0,50.0,1
1140,Vaal River @ 20 km Beacon ,2011,3,Jul-Sep,24.0,68.0,0.0,8.3,4.13,0.2,100.0,100.0,0.0,0.0,50.0,1
1141,Vaal River @ 20 km Beacon ,2011,4,Oct-Dec,26.0,70.0,0.0,7.8,3.1,0.23,100.0,100.0,0.0,0.0,50.0,1
1142,Vaal River @ 37 km Beacon ,2011,1,Jan-Mar,15.0,39.0,1000.0,7.4,1.4,0.2,80.0,100.0,0.0,0.0,45.0,1
1143,Vaal River @ 37 km Beacon ,2011,2,Apr-Jun,18.0,63.0,1557.0,7.5,2.98,0.24,100.0,100.0,0.0,0.0,50.0,1
1144,Vaal River @ 37 km Beacon ,2011,3,Jul-Sep,22.0,69.0,521.0,7.7,4.5,0.26,100.0,100.0,0.0,0.0,50.0,1
1145,Vaal River @ 37 km Beacon ,2011,4,Oct-Dec,24.0,71.0,465.0,7.5,3.1,0.24,80.0,100.0,0.0,0.0,45.0,1
1146,Blesbokspruit Weir @ Heidelberg,2012,1,Jan-Mar,22.0,62.0,10950.0,7.3,0.66,0.61,100.0,90.91,0.0,100.0,72.73,1
1147,Blesbokspruit Weir @ Heidelberg,2012,2,Apr-Jun,23.0,71.0,57400.0,7.9,1.3,0.49,100.0,100.0,0.0,100.0,75.0,1
1148,Blesbokspruit Weir @ Heidelberg,2012,3,Jul-Sep,23.0,70.0,2130.0,7.6,2.4,0.46,100.0,100.0,0.0,100.0,75.0,1
1149,Blesbokspruit Weir @ Heidelberg,2012,4,Oct-Dec,23.0,73.0,7950.0,7.8,1.2,0.52,100.0,100.0,0.0,100.0,75.0,1
1150,Klip River Weir @ Redan Train Bridge,2012,1,Jan-Mar,27.0,59.0,4340.0,6.8,2.7,0.41,80.0,100.0,0.0,100.0,70.0,1
1151,Klip River Weir @ Redan Train Bridge,2012,2,Apr-Jun,24.0,64.0,3320.0,7.6,4.9,0.27,100.0,100.0,0.0,100.0,75.0,1
1152,Klip River Weir @ Redan Train Bridge,2012,3,Jul-Sep,35.0,66.0,7550.0,7.2,3.9,0.38,80.0,100.0,0.0,100.0,70.0,1
1153,Klip River Weir @ Redan Train Bridge,2012,4,Oct-Dec,25.0,62.0,18350.0,7.4,2.8,0.58,100.0,100.0,0.0,100.0,75.0,1
1154,Leeuspruit @ Sasolburg ,2012,1,Jan-Mar,25.0,90.0,2130.0,6.9,0.1,0.27,80.0,90.91,0.0,0.0,42.73,1
1155,Leeuspruit @ Sasolburg ,2012,2,Apr-Jun,14.0,105.0,1030.0,7.7,0.28,0.05,100.0,100.0,0.0,0.0,50.0,1
1156,Leeuspruit @ Sasolburg ,2012,3,Jul-Sep,19.0,105.0,990.0,7.3,1.2,1.2,100.0,90.91,0.0,0.0,47.73,1
1157,Leeuspruit @ Sasolburg ,2012,4,Oct-Dec,23.0,77.0,6400.0,7.4,0.15,13.0,80.0,90.91,0.0,0.0,42.73,1
1158,Rietspruit Weir @ Loch Vaal ,2012,1,Jan-Mar,28.0,60.0,2910.0,6.7,2.8,1.2,80.0,90.91,0.0,100.0,67.73,1
1159,Rietspruit Weir @ Loch Vaal ,2012,2,Apr-Jun,21.0,63.0,3430.0,7.4,5.1,1.0,100.0,90.91,0.0,100.0,72.73,1
1160,Rietspruit Weir @ Loch Vaal ,2012,3,Jul-Sep,25.0,57.0,6800.0,7.2,3.5,1.1,100.0,90.91,0.0,100.0,72.73,1
1161,Rietspruit Weir @ Loch Vaal ,2012,4,Oct-Dec,23.0,61.0,5740.0,7.4,4.2,0.94,60.0,90.91,0.0,100.0,62.73,1
1162,Suikerbosrant River Weir @ Three Rivers,2012,1,Jan-Mar,24.0,58.0,540.0,7.1,0.61,0.39,100.0,100.0,0.0,100.0,75.0,1
1163,Suikerbosrant River Weir @ Three Rivers,2012,2,Apr-Jun,20.0,70.0,175.0,8.2,1.2,0.28,100.0,100.0,100.0,100.0,100.0,1
1164,Suikerbosrant River Weir @ Three Rivers,2012,3,Jul-Sep,21.0,68.0,210.0,7.9,2.1,0.26,100.0,100.0,100.0,100.0,100.0,1
1165,Suikerbosrant River Weir @ Three Rivers,2012,4,Oct-Dec,22.0,71.0,445.0,8.0,1.3,0.3,100.0,100.0,0.0,100.0,75.0,1
1166,Stream from Webb's Farm ,2012,1,Jan-Mar,0.0,82.0,1600.0,7.2,0.94,1.8,60.0,81.82,0.0,0.0,35.46,1
1167,Stream from Webb's Farm ,2012,2,Apr-Jun,0.0,91.0,385.0,7.9,0.79,1.2,60.0,90.91,100.0,0.0,62.73,1
1168,Stream from Webb's Farm ,2012,3,Jul-Sep,0.0,83.0,660.0,7.8,0.92,1.4,60.0,90.91,0.0,0.0,37.73,1
1169,Stream from Webb's Farm ,2012,4,Oct-Dec,0.0,84.0,1050.0,7.8,0.56,1.3,60.0,90.91,0.0,0.0,37.73,1
1170,Vaal River @ Barrage Outlet ,2012,1,Jan-Mar,27.0,57.0,130.0,7.4,1.3,0.34,100.0,100.0,100.0,100.0,100.0,1
1171,Vaal River @ Barrage Outlet ,2012,2,Apr-Jun,20.0,61.0,45.0,7.8,2.6,0.21,100.0,100.0,100.0,100.0,100.0,1
1172,Vaal River @ Barrage Outlet ,2012,3,Jul-Sep,20.0,56.0,16.0,7.8,2.8,0.26,100.0,100.0,100.0,100.0,100.0,1
1173,Vaal River @ Barrage Outlet ,2012,4,Oct-Dec,19.0,66.0,53.0,7.7,2.1,0.31,100.0,100.0,100.0,100.0,100.0,1
1174,Vaal River @ Engelbrecht's Drift Weir,2012,1,Jan-Mar,17.0,20.0,220.0,6.7,0.42,0.3,80.0,90.91,100.0,100.0,92.73,1
1175,Vaal River @ Engelbrecht's Drift Weir,2012,2,Apr-Jun,14.0,22.0,190.0,7.5,0.66,0.05,100.0,100.0,100.0,100.0,100.0,1
1176,Vaal River @ Engelbrecht's Drift Weir,2012,3,Jul-Sep,15.0,20.0,110.0,7.2,0.54,0.06,100.0,100.0,100.0,100.0,100.0,1
1177,Vaal River @ Engelbrecht's Drift Weir,2012,4,Oct-Dec,14.0,24.0,125.0,7.5,0.32,0.07,100.0,90.91,100.0,100.0,97.73,1
1178,Vaal River @ 20 km Beacon ,2012,1,Jan-Mar,21.0,57.0,0.0,7.2,3.8,0.29,100.0,100.0,0.0,0.0,50.0,1
1179,Vaal River @ 20 km Beacon ,2012,2,Apr-Jun,15.0,62.0,0.0,7.9,3.6,0.18,100.0,100.0,0.0,0.0,50.0,1
1180,Vaal River @ 20 km Beacon ,2012,3,Jul-Sep,23.0,53.0,0.0,7.6,3.5,0.38,100.0,100.0,0.0,0.0,50.0,1
1181,Vaal River @ 20 km Beacon ,2012,4,Oct-Dec,20.0,65.0,0.0,7.6,2.6,0.42,100.0,100.0,0.0,0.0,50.0,1
1182,Vaal River @ 37 km Beacon ,2012,1,Jan-Mar,25.0,58.0,870.0,6.9,2.5,0.29,100.0,100.0,0.0,0.0,50.0,1
1183,Vaal River @ 37 km Beacon ,2012,2,Apr-Jun,16.0,62.0,640.0,8.0,4.1,0.21,100.0,100.0,0.0,0.0,50.0,1
1184,Vaal River @ 37 km Beacon ,2012,3,Jul-Sep,20.0,65.0,4510.0,7.3,3.9,0.48,100.0,100.0,0.0,0.0,50.0,1
1185,Vaal River @ 37 km Beacon ,2012,4,Oct-Dec,18.0,65.0,3620.0,7.2,2.6,0.46,80.0,100.0,0.0,0.0,45.0,1
1186,Blesbokspruit Weir @ Heidelberg,2013,1,Jan-Mar,23.0,66.0,3770.0,7.6,1.35,0.57,100.0,100.0,0.0,100.0,75.0,1
1187,Blesbokspruit Weir @ Heidelberg,2013,2,Apr-Jun,19.0,68.0,2330.0,7.7,1.1,0.48,100.0,100.0,0.0,100.0,75.0,1
1188,Blesbokspruit Weir @ Heidelberg,2013,3,Jul-Sep,26.0,76.0,405.0,7.7,2.3,0.6,100.0,100.0,0.0,100.0,75.0,1
1189,Blesbokspruit Weir @ Heidelberg,2013,4,Oct-Dec,36.0,78.0,2980.0,7.7,2.5,0.64,80.0,90.91,0.0,100.0,67.73,1
1190,Klip River Weir @ Redan Train Bridge,2013,1,Jan-Mar,24.0,60.0,4580.0,7.4,3.11,0.42,100.0,100.0,0.0,100.0,75.0,1
1191,Klip River Weir @ Redan Train Bridge,2013,2,Apr-Jun,18.0,61.0,8450.0,7.3,4.0,0.28,80.0,100.0,0.0,100.0,70.0,1
1192,Klip River Weir @ Redan Train Bridge,2013,3,Jul-Sep,25.0,64.0,1410.0,7.6,4.1,0.35,100.0,100.0,0.0,100.0,75.0,1
1193,Klip River Weir @ Redan Train Bridge,2013,4,Oct-Dec,27.0,66.0,11370.0,7.5,3.6,0.64,60.0,90.91,0.0,100.0,62.73,1
1194,Leeuspruit @ Sasolburg ,2013,1,Jan-Mar,20.0,79.0,5350.0,7.7,0.9,0.26,80.0,100.0,0.0,0.0,45.0,1
1195,Leeuspruit @ Sasolburg ,2013,2,Apr-Jun,20.0,100.0,810.0,7.8,0.91,0.2,80.0,100.0,0.0,0.0,45.0,1
1196,Leeuspruit @ Sasolburg ,2013,3,Jul-Sep,25.0,110.0,480.0,7.9,0.82,0.19,80.0,90.91,0.0,0.0,42.73,1
1197,Leeuspruit @ Sasolburg ,2013,4,Oct-Dec,29.0,87.0,10390.0,7.4,0.4,0.26,80.0,100.0,0.0,0.0,45.0,1
1198,Rietspruit Weir @ Loch Vaal ,2013,1,Jan-Mar,21.0,59.0,20400.0,7.1,2.8,0.72,100.0,90.91,0.0,100.0,72.73,1
1199,Rietspruit Weir @ Loch Vaal ,2013,2,Apr-Jun,16.0,56.0,27710.0,7.1,3.7,0.66,80.0,90.91,0.0,100.0,67.73,1
